,Título,Ubicación,Descripción,Servicios,Sueldo,Timestamp,Url
10,Analyst Wholesale Banking - TMT & Healthcare,Madrid,"Un innovador banco internacional busca un Analista TMT & Healthcare para unirse a su equipo en Madrid. Este rol dinámico ofrece la oportunidad de trabajar en transacciones complejas y soluciones financieras para empresas de telecomunicaciones, medios y salud. Con un entorno de trabajo flexible y un enfoque en el desarrollo personal, serás parte de un equipo altamente motivado que valora la diversidad y la inclusión. Aquí, tu trabajo no solo impactará a los clientes, sino que también contribuirá a un futuro sostenible. Si eres un profesional proactivo con habilidades analíticas sobresalientes, esta es tu oportunidad para brillar.","['Tarjeta de restauranteSeguro de saludSeguro de vidaRemuneración flexibleTransporte gratuitoBeneficios bancariosClub de corredoresClínicas de atletas profesionalesServicio de fisioterapiaRedes de empleados', ' Análisis financiero Modelado financiero Gestión de proyectos Comunicación efectiva Excel PowerPoint Trabajo en equipo', ' Máster', ' Herramientas de análisis financiero Software de presentación']","EUR 50,000 - 70,000",2024-10-31 11:16:04.128603,https://jobleads.com/job/ee6885f1d1d0c732efa4cbe7dadc4f8a2
11,I-Software Engineering Specialist,Madrid,"Una innovadora división de un importante banco busca un/a MarkitWire Business Analyst para unirse a su equipo en Madrid. En este rol, serás responsable de analizar las necesidades operativas y diseñar soluciones efectivas utilizando la plataforma MarkitWire. Con un enfoque en la gestión de riesgos y la mejora continua, tendrás la oportunidad de trabajar en proyectos desafiantes y colaborar con diversas áreas del banco. Si tienes una sólida formación en finanzas y experiencia en sistemas de trading, esta es tu oportunidad para contribuir a la transformación del sector financiero en un entorno dinámico y colaborativo.","[' MarkitWire Murex Mercados financieros XML SQL Gestión de equipos Inglés avanzado', ' Licenciatura en Economía Licenciatura en ADE Licenciatura en Empresariales']","EUR 50,000 - 70,000",2024-10-31 11:16:04.970331,https://jobleads.com/job/eac3c55593dab815afd599cd21e138591
12,"Sales, Trading and Structuring Graduate Programme 2025 Madrid",Madrid,Sin descripción,[],"EUR 30,000 - 50,000",2024-10-31 11:16:05.713518,https://jobleads.com/job/e5ce934ffbc978e96455426d5c2d741d0
13,Data Analyst (Madrid) - Direct Recruitment | BYT,Madrid,"Join a forward-thinking company as a Senior Data Analyst, where your expertise will transform complex data into actionable insights. In this hybrid role, you'll lead data-driven projects, collaborating with stakeholders to design reporting solutions that support strategic business objectives. Your analytical skills will be crucial in uncovering trends and patterns that drive key decisions, while your proficiency in tools like Tableau and Power BI will help present insights clearly. This is an exciting opportunity to make a significant impact in a dynamic environment focused on innovation and excellence in data analysis.","[' Data Analysis SQL Python R Data Visualization Statistical Methods ETL Processes', "" Bachelor's degree in Data Science Bachelor's degree in Statistics Bachelor's degree in Computer Science"", ' Tableau Power BI Snowflake']","EUR 50,000 - 70,000",2024-10-31 11:16:06.441785,https://jobleads.com/job/eb8e1ececc32557a6fa0b36c2f94ca969
14,Senior Quality Analyst,Madrid,"An innovative technology consultancy seeks a passionate Quality Analyst to inspire teams in embedding quality throughout the software development lifecycle. In this role, you will advocate for quality, collaborating with diverse teams to ensure that products not only meet specifications but also deliver exceptional user experiences. With a focus on continuous improvement, you will conduct exploratory testing, enhance testing strategies, and mentor junior QAs. This is an exciting opportunity to join a vibrant community that values curiosity and collaboration, where your contributions will help shape the future of digital innovation.",[' Quality Analysis Java Testing Agile Methodologies TDD BDD CI/CD Performance Testing Security Testing User Experience Research Metrics Analysis'],"EUR 50,000 - 70,000",2024-10-31 11:16:07.094968,https://jobleads.com/job/e294a781d471b7038ac54125e1fa38d67
15,IT Business Analyst - Seguros Auto Mediado [II778],Madrid,"Una firma innovadora busca un IT Business Analyst con experiencia en el sector asegurador. En este emocionante rol, serás el nexo entre negocio y tecnología, recogiendo necesidades y apoyando en el diseño de pruebas. Si tienes al menos 3 años de experiencia en compañías internacionales y conocimiento en metodologías ágiles, esta es tu oportunidad. Únete a un equipo dinámico donde tus habilidades serán valoradas y donde podrás contribuir al éxito de proyectos clave. ¡Esperamos tu aplicación!",[' Análisis de Negocios Metodología Agile JIRA Microsoft Project Inglés alto'],"EUR 50,000 - 70,000",2024-10-31 11:16:07.819083,https://jobleads.com/job/e0c81a22a98f5fdeb468f16f835db6652
16,F308 | IT Business Analyst - Master Data (Mdm),Madrid,"Join a forward-thinking company as an IT Business Analyst specializing in Master Data Management. In this dynamic role, you will leverage your expertise in Oracle Cloud to design, build, and maintain innovative solutions that drive efficiency and meet strategic goals. Collaborate with cross-functional teams to enhance the Oracle Fusion Cloud platform while ensuring alignment with business needs. This permanent opportunity promises a supportive culture that prioritizes career progression, work-life balance, and continuous learning. If you're looking to make a significant impact in a global organization, this is the perfect chance to elevate your career.","['Career progressionWork-life balanceMental health supportCompetitive salaryContinued learning and development', ' Oracle Cloud Master Data Master Data Management ERP Transformation Data Test Strategy Communication Skills', "" Bachelor's Degree in IT or related field"", ' Oracle Fusion Cloud Customer Data Hub (CDH) Supplier Hub (OSH)']","EUR 50,000 - 70,000",2024-10-31 11:16:08.470090,https://jobleads.com/job/efc665afc63c94064eb1cfbd4dd2d0f65
17,"A-079 | Assoc. Dir. Ddit Dev. Business Analyst, Global Clinical Operations",Madrid,"Join a forward-thinking company where you will play a crucial role as a Business Analyst in Global Clinical Operations. In this position, you will engage with global leaders to identify requirements and deliver data-driven recommendations that enhance efficiency and add value. Your expertise will guide improvements in business processes, products, and services through thorough data analysis. This role offers the opportunity to work autonomously in a dynamic, multicultural environment, ensuring that solutions meet specifications and enhance user experiences. If you are a self-starter with a strong analytical background and a passion for driving global solutions, this is the perfect opportunity for you.","[' Business Process Reengineering User Requirements Gathering Agile Scrum Analytical Skills Communication Skills Problem-Solving Change Management Testing / Computer System Validation', ' University Degree in Informatics or Computer Sciences Relevant Experience']","EUR 50,000 - 70,000",2024-10-31 11:16:09.167320,https://jobleads.com/job/e41d0082d136310c568d9afbabe532c8a
18,Business Controller and Analyst,Madrid,"Una empresa innovadora busca un Junior Business Analyst & Controller que se una a su equipo internacional en Madrid. En esta dinámica posición, serás responsable de la producción de informes operacionales y análisis de datos, ayudando a optimizar el rendimiento de la empresa. Se requiere un fuerte interés en la consolidación de datos operacionales y habilidades avanzadas en Microsoft Excel. Esta es una oportunidad emocionante para contribuir a un equipo diverso y en crecimiento, donde tus aportes serán valorados y tendrás la oportunidad de crecer profesionalmente en un entorno internacional. ¡Prepárate para asumir nuevos desafíos y ser parte de una aventura increíble!","[' Análisis de datos operacionales Microsoft Excel (Macros) Comunicación efectiva Trabajo en equipo Organización', ' Grado en Administración de Empresas o equivalente', ' MS Excel']","EUR 50,000 - 70,000",2024-10-31 11:16:09.917397,https://jobleads.com/job/e63fbad2020cb58ff9e2d1b42cbdbd675
19,Process Engineer Operations Analyst - Santander | [XNQ-00],Madrid,"Una empresa innovadora busca un/a Process Engineer Operations Analyst para unirse a su equipo en Madrid. En este rol, serás responsable de desarrollar y mantener el modelo de control operativo en un entorno DataLake, asegurando la calidad de los datos y apoyando a las unidades en la implementación de nuevos controles. Con un enfoque en la tecnología y la creatividad, tendrás la oportunidad de contribuir a soluciones financieras que impactan a usuarios y comunidades en todo el mundo. Si tienes experiencia en SQL, Python y un interés en Big Data, esta es tu oportunidad para crecer en un entorno dinámico y colaborativo.","[' SQL Python Apache Spark Pyspark PowerBI Inglés (B1-B2)', ' Ciclo Formativo de Grado Superior/Medio en Informática Formación en Big Data y/o Data Analytics']","EUR 30,000 - 50,000",2024-10-31 11:16:10.692026,https://jobleads.com/job/e2ca04344a5617805040a7eaed2386627
20,[C912] - ▷ (Inicio Inmediato) Senior Knowledge Analyst- Payments & Fintech,Madrid,"An established industry player in consulting is seeking a Senior Knowledge Analyst to join their Payments and FinTech Practice Area. This role offers a unique opportunity to collaborate with a dynamic global team, providing critical insights and expertise to solve complex client challenges. You will engage in developing knowledge assets and support marketing efforts while working closely with senior stakeholders. Ideal candidates will have a strong background in consulting or relevant industry experience, alongside excellent communication and analytical skills. If you're passionate about payments and financial services and thrive in a collaborative environment, this position is perfect for you.","[' Research and Analytical Skills Communication with Senior Stakeholders Collaboration in Virtual Teams Flexibility and Creativity Navigating Complexity', "" Bachelor's Degree Advanced Degree"", ' Knowledge Management Tools']","EUR 50,000 - 70,000",2024-10-31 11:16:11.314010,https://jobleads.com/job/e033e4257dc8e95d510137aeb387549e3
21,San-operations Delivery Analyst Ii | (N261),Madrid,"Una organización global en el sector financiero busca un Operations Delivery Analyst para unirse a su equipo en Madrid. Esta posición es clave para garantizar el funcionamiento diario del banco, involucrándose en tareas administrativas y apoyo en operaciones. Con un enfoque en la gestión de riesgos y una cultura de igualdad de oportunidades, esta empresa ofrece un entorno dinámico y colaborativo donde los profesionales pueden crecer y contribuir a la gestión de inversiones. Si tienes una licenciatura en áreas relacionadas y experiencia en consultoría o finanzas, esta es tu oportunidad para formar parte de una firma reconocida y en expansión.","[' Conocimientos financieros y de costes Inglés Intermedio - Avanzado Paquete Office Herramientas de gestión Uso de bases de datos', ' Licenciatura en ADE Licenciatura en Finanzas Licenciatura en Economía']","EUR 50,000 - 70,000",2024-10-31 11:16:11.901717,https://jobleads.com/job/e2acf902b7f14f07df3ea261c1e59f057
22,MO-081 | San-operations Delivery Analyst,Madrid,"Una innovadora firma busca un/a Delivery Operations Analyst para unirse a su equipo en Madrid. En esta emocionante posición, serás responsable de la obtención y revisión diaria de precios de activos, así como del cálculo y envío de NAV. Se valorará tu experiencia en mercados financieros y tu capacidad para utilizar herramientas como Refinitiv Eikon y Bloomberg. Además, tendrás la oportunidad de participar en la mejora de procesos y en la gestión de incidencias. Si tienes una actitud proactiva y un sólido conocimiento en contabilidad y finanzas, esta es tu oportunidad para crecer en un entorno dinámico y colaborativo.","[' Conocimientos contables Conocimiento de mercados financieros Valoración de Fondos de Inversión Automatización de herramientas Python Inglés Avanzado Paquete Office (Excel avanzado)', ' Formación en Mercados de Capitales Gobierno de Datos', ' Refinitiv Eikon Bloomberg Herramientas de gestión de bases de datos']","EUR 50,000 - 70,000",2024-10-31 11:16:12.686795,https://jobleads.com/job/e47c0389ddb94111e46322f1913173dfe
23,RM-430 | Process Engineer Operations Analyst - Santander,Madrid,"Una innovadora firma busca un/a Process Engineer Operations Analyst para unirse a su equipo en Madrid. Este rol es fundamental para desarrollar el Modelo de control Operativo en un entorno DataLake, apoyando la inclusión de nuevos controles y el mantenimiento de los existentes. En un entorno colaborativo y diverso, tendrás la oportunidad de trabajar con tecnologías avanzadas como SQL, Python, y PowerBI, contribuyendo al desarrollo de soluciones financieras que impactan a miles de usuarios. Si estás listo para un desafío emocionante y deseas crecer en un ambiente inclusivo y dinámico, esta es tu oportunidad.","[' SQL Python Apache Spark Pyspark PowerBI Inglés (B1-B2)', ' Ciclo Formativo de Grado Superior/ Medio en informática Formación en Big Data y/o Data Analytics']","EUR 50,000 - 70,000",2024-10-31 11:16:13.353256,https://jobleads.com/job/e001ef0de9577d8076f8f1e1c5231e4dd
24,[QX536] - Junior Incidents & Problems Analyst- Santander,Madrid,"Una innovadora firma busca un Junior Incidents & Problems Analyst para unirse a su equipo dinámico en Madrid. Esta posición ofrece la oportunidad de trabajar en un entorno colaborativo donde la tecnología es clave para mejorar la experiencia del cliente. Con un enfoque en la mejora continua y el aprendizaje, tendrás la posibilidad de contribuir a la fiabilidad y rendimiento de los servicios. Además, disfrutarás de un modelo de trabajo híbrido, flexibilidad horaria y oportunidades de desarrollo profesional. Si te apasiona la tecnología y deseas crecer en un entorno inclusivo, esta es la oportunidad perfecta para ti.","['Flexibilidad horariaOportunidades internacionalesFormación continuaPlan de carreraBeneficios sociales', ' Office 365 Jira Dynatrace Bash Power BI Python']","EUR 50,000 - 70,000",2024-10-31 11:16:14.033790,https://jobleads.com/job/ea873723c2d1c1c3ffa5831efa2c7585c
25,Financial Operations Analyst,Madrid,"Una empresa innovadora busca un Analista de Operaciones Financieras para unirse a su equipo dinámico en Madrid. Esta posición ofrece la oportunidad de trabajar en un entorno altamente dinámico, donde se valoran las ideas y el crecimiento personal. Con un enfoque en la liquidación de valores y la gestión de proyectos, tendrás la oportunidad de colaborar con partes interesadas clave y contribuir al desarrollo de una nueva infraestructura de mercado utilizando tecnología DLT. Si tienes pasión por los mercados de capital y deseas un entorno de trabajo flexible y de aprendizaje continuo, esta es tu oportunidad.","['Modelos de trabajo flexiblesDesarrollo personalMétodos de trabajo ágiles', ' Análisis de mercado Gestión de proyectos Operaciones de liquidación de valores Comunicación en español e inglés Orientación al detalle', ' Licenciatura en Finanzas Máster en Mercados Financieros']","EUR 50,000 - 70,000",2024-10-31 11:16:14.908043,https://jobleads.com/job/e82376ccbf75425850db44ac6bd5f519c
26,FUNCTIONAL ANALYST WITH SOFWARE DEVELOPMENT SKILLS,Madrid,"An innovative company is seeking a Functional Analyst with software development skills to lead product and service development. This role involves analyzing requirements, ensuring technical specifications are met, and actively participating in development and testing processes. You will work closely with B2B Customer Service and Operations teams to enhance service quality and customer satisfaction. If you thrive in a dynamic environment and have a passion for technology, this is an exciting opportunity to make a significant impact within a leading telecommunications organization.","[' Java Python JavaScript SQL AWS REST APIs Agile Methodologies GIT UAT Testing System Design Principles', ' Degree in Telecommunications Degree in Computing', ' Visual Studio Eclipse JIRA']","EUR 50,000 - 70,000",2024-10-31 11:16:15.582920,https://jobleads.com/job/ee41453a660750caa5eb90667eafd4e0d
27,SAP PS Consultant | (FD-600),Madrid,"An established industry player is seeking a skilled Business Analyst with a strong background in SAP implementations. In this dynamic role, you'll engage in joint application design sessions, analyze business processes, and develop use cases tailored to client needs. Your expertise will ensure that requirements are met effectively, minimizing risks and enhancing system value. With a focus on simplicity and user experience, you will collaborate closely with stakeholders to deliver practical solutions that align with strategic objectives. If you're passionate about driving business success through technology, this is the perfect opportunity for you.","[' SAP Implementations Business Analysis Requirements Gathering Use Case Development Process Analysis', "" Bachelor's Degree Advanced Degree"", ' Analysis and Modeling Tools']","EUR 70,000 - 90,000",2024-10-31 11:16:16.218516,https://jobleads.com/job/e75a169d83d462bf11518361064dbdd43
28,Junior Incidents & Problems Analyst- Santander - [QEU138],Madrid,"Una empresa innovadora busca un Junior Incidents & Problems Analyst que esté listo para contribuir a la mejora de la tecnología que impacta a millones. En un entorno dinámico y proactivo, tendrás la oportunidad de trabajar con un equipo diverso y talentoso, participando en la mejora de la fiabilidad de los servicios y en el análisis de incidencias. Este rol ofrece flexibilidad horaria y un modelo híbrido de trabajo, permitiéndote equilibrar tu vida profesional y personal. Además, recibirás formación continua y oportunidades internacionales para tu desarrollo profesional. Si te apasiona la tecnología y quieres crecer en un entorno colaborativo, esta es tu oportunidad.","['Flexibilidad horariaFormación continuaPlan de carreraOportunidades internacionalesBeneficios sociales', ' Office 365 Jira Dynatrace Bash Power BI Python']","EUR 50,000 - 70,000",2024-10-31 11:16:16.841353,https://jobleads.com/job/e3696487253d90c7fb08dccfab9b48871
29,Debt & Structured Finance Analyst,Madrid,"Una empresa innovadora en el sector inmobiliario busca un Analista de Finanzas Estructuradas para unirse a su equipo en Madrid. Este rol ofrece una oportunidad única para aprender y crecer en un entorno colaborativo, trabajando en la evaluación de transacciones y la preparación de memorandos de financiamiento. Los candidatos ideales tendrán una sólida formación en finanzas y habilidades avanzadas en modelado financiero. Con un enfoque en el crecimiento profesional y la mentoría, este puesto es perfecto para aquellos que buscan construir una carrera exitosa en el sector inmobiliario. ¡Únete a nosotros y contribuye a dar forma a un futuro mejor!","[' Modelado Financiero Microsoft Excel Análisis de Transacciones Preparación de Memorandos Investigación de Mercado', ' Licenciatura en Finanzas Máster en Finanzas o Inversiones', ' Microsoft PowerPoint']","EUR 70,000 - 90,000",2024-10-31 11:16:17.499976,https://jobleads.com/job/e066d2c93a2bef869356d759566b79be0
30,Credit Control Reporting & MI Analyst,Madrid,Sin descripción,"['Dynamic training programsTuition reimbursementFlexible work arrangementsMentoring opportunities', ' Reporting and MI analysis Microsoft Excel Accounts Receivable Debt Management Analytical Skills Communication Skills Knowledge of London Market Financial Reporting', ' Relevant financial qualifications (ACCA/CIMA)', ' Finance or credit control systems Excel macros']","EUR 30,000 - 50,000",2024-10-31 11:16:18.256523,https://jobleads.com/job/eff9b344981125e04ba2689d3d93d67cb
31,SCIB M&A Analyst,Madrid,"Una oportunidad emocionante para unirse a un equipo líder en asesoría de M&A en una institución financiera global. Como Analista de M&A, serás parte de transacciones transformadoras, apoyando la ejecución de oportunidades de fusiones y adquisiciones con un enfoque en infraestructura en América Latina. Se espera que demuestres habilidades sólidas en modelado y valoración financiera, así como un compromiso con la excelencia y la atención al detalle. Este rol ofrece un entorno dinámico y desafiante, ideal para aquellos que buscan avanzar en su carrera en el sector de banca de inversión y asesoría M&A. Si eres una persona motivada y con iniciativa, esta es tu oportunidad para brillar.","[' Análisis financiero Modelado financiero Valuación de empresas Comunicación efectiva Microsoft Excel Microsoft PowerPoint Autonomía y responsabilidad Fluidez en español e inglés Conocimiento del mercado de infraestructura en América Latina Herramientas de datos de mercado (Bloomberg, Factset, etc.)', ' Título universitario de una universidad de primer nivel MBA (considerado para roles de asociado) Máster en Finanzas Corporativas (deseable)', ' Bloomberg Factset Refinitiv Mergermarket']","EUR 50,000 - 70,000",2024-10-31 11:16:18.930978,https://jobleads.com/job/ec9df242849cdd7d6a1c3eed581c19d1d
32,Financial Analyst - Financial Restructuring,Madrid,Sin descripción,"[' Financial Analysis LBO Modelling DCF Modelling Valuation Theory Quantitative Skills Analytical Skills Communication Skills Business Due Diligence', ' Degree in Accounting Degree in Economics Degree in Finance']","EUR 50,000 - 70,000",2024-10-31 11:16:19.577808,https://jobleads.com/job/e036d31ee1baea150953d27eb78a5d249
33,Software Business Analyst,Madrid,Sin descripción,[],"EUR 50,000 - 70,000",2024-10-31 11:16:20.169330,https://jobleads.com/job/e566c9e14790d4777c6184c2f48a88b2f
34,"Research Analyst, Upstream Asset Valuation",Madrid,Sin descripción,[],"EUR 50,000 - 70,000",2024-10-31 11:16:20.850941,https://jobleads.com/job/e69e54446515d7f80595d63eb3152de0e
35,Senior Sales Analyst,Madrid,"An innovative firm is seeking a Senior Sales Analyst to lead GTM analytics and drive impactful insights. This role involves collaborating with cross-functional teams to enhance sales strategies and deliver data-driven recommendations. With a focus on building intuitive dashboards and managing analytics projects, you will play a crucial role in shaping the company's direction. Join a diverse team and contribute to a culture of creativity and customer impact, where your insights will directly influence business outcomes. This is an exciting opportunity to take ownership of analytics in a rapidly growing company.","['RSUs grantAnnual bonusLearning & Development planFlexible working hoursMedical insuranceMeal and transportation ticketsGympass25 days of vacationTeam buildings and eventsNotebook/Macbook and monitor', ' SQL Dashboard Building Data Analysis Project Management Communication Skills Collaboration', "" Bachelor's Degree in a related field"", ' CRM Systems (e.g., Salesforce, HubSpot)']","EUR 50,000 - 70,000",2024-10-31 11:16:21.575374,https://jobleads.com/job/e9b557848d91ddc0795e694eaf675debe
36,S944 Senior Business Analyst,Madrid,"Una empresa líder en el sector de seguros busca un Analista de Negocios Senior para unirse a su equipo de Gestión Operativa en Madrid. Este rol emocionante requiere una combinación robusta de habilidades en análisis de negocios y gestión de proyectos, donde el candidato ideal será responsable de la supervisión de proyectos desde la recolección de requisitos hasta la implementación y mejora continua. Ofrecemos un entorno profesional dinámico y la oportunidad de crecer en una organización que valora la diversidad y la inclusión. Si estás listo para dar el siguiente paso en tu carrera y trabajar con los mejores en el sector, esta es tu oportunidad.","[""Seguro de vida pagado por la empresaCobertura médicaPlan de compensación flexiblePlataforma de formación gratuita 'myLearning'Descuentos en compras a través de 'BigPocket'"", ' Análisis de negocios Gestión de proyectos Metodología Ágil (SCRUM) SQL Power BI Excel Comunicación efectiva Análisis de datos', ' Grado en Ingeniería Informática o similar', ' Jira Data Warehouse Modelado de datos']","EUR 70,000 - 90,000",2024-10-31 11:16:22.171539,https://jobleads.com/job/e1d651e6453a3b71c07d693619e4dec05
