Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
analyst wholesale banking tmt healthcare,Data Analyst,Regular,,,,Madrid,"Un innovador banco internacional busca un Analista TMT & Healthcare para unirse a su equipo en Madrid. Este rol dinámico ofrece la oportunidad de trabajar en transacciones complejas y soluciones financieras para empresas de telecomunicaciones, medios y salud. Con un entorno de trabajo flexible y un enfoque en el desarrollo personal, serás parte de un equipo altamente motivado que valora la diversidad y la inclusión. Aquí, tu trabajo no solo impactará a los clientes, sino que también contribuirá a un futuro sostenible. Si eres un profesional proactivo con habilidades analíticas sobresalientes, esta es tu oportunidad para brillar.","['Tarjeta de restaurante Seguro de salud Seguro de vida Remuneración flexible Transporte gratuito Beneficios bancarios Club de corredores Clínicas de atletas profesionales Servicio de fisioterapia Redes de empleados', ' Análisis financiero Modelado financiero Gestión de proyectos Comunicación efectiva Excel Power Point Trabajo en equipo', ' Máster', ' Herramientas de análisis financiero Software de presentación']",,,,,Excel,
isoftware engineering specialist,Data Specialist,Regular,,,,Madrid,"Una innovadora división de un importante banco busca un/a MarkitWire Business Analyst para unirse a su equipo en Madrid. En este rol, serás responsable de analizar las necesidades operativas y diseñar soluciones efectivas utilizando la plataforma MarkitWire. Con un enfoque en la gestión de riesgos y la mejora continua, tendrás la oportunidad de trabajar en proyectos desafiantes y colaborar con diversas áreas del banco. Si tienes una sólida formación en finanzas y experiencia en sistemas de trading, esta es tu oportunidad para contribuir a la transformación del sector financiero en un entorno dinámico y colaborativo.","[' Markit Wire Murex Mercados financieros X M L S Q L Gestión de equipos Inglés avanzado', ' Licenciatura en Economía Licenciatura en A D E Licenciatura en Empresariales']",,,,,,"Licenciatura, Licenciatura, Licenciatura"
sales trading and structuring graduate programme 2025,Other,Regular,,,,Madrid,Sin descripción,[],,,,,,
senior quality analyst,Data Analyst,Senior,,,,Madrid,"An innovative technology consultancy seeks a passionate Quality Analyst to inspire teams in embedding quality throughout the software development lifecycle. In this role, you will advocate for quality, collaborating with diverse teams to ensure that products not only meet specifications but also deliver exceptional user experiences. With a focus on continuous improvement, you will conduct exploratory testing, enhance testing strategies, and mentor junior QAs. This is an exciting opportunity to join a vibrant community that values curiosity and collaboration, where your contributions will help shape the future of digital innovation.",[' Quality Analysis Java Testing Agile Methodologies T D D B D D C I/C D Performance Testing Security Testing User Experience Research Metrics Analysis'],,,,,,
it business analyst seguros auto mediado,Data Analyst,Regular,,,,Madrid,"Una firma innovadora busca un IT Business Analyst con experiencia en el sector asegurador. En este emocionante rol, serás el nexo entre negocio y tecnología, recogiendo necesidades y apoyando en el diseño de pruebas. Si tienes al menos 3 años de experiencia en compañías internacionales y conocimiento en metodologías ágiles, esta es tu oportunidad. Únete a un equipo dinámico donde tus habilidades serán valoradas y donde podrás contribuir al éxito de proyectos clave. ¡Esperamos tu aplicación!",[' Análisis de Negocios Metodología Agile J I R A Microsoft Project Inglés alto'],,,,,R,
f308 it business analyst master data,Data Analyst,Senior,,,,Madrid,"Join a forward-thinking company as an IT Business Analyst specializing in Master Data Management. In this dynamic role, you will leverage your expertise in Oracle Cloud to design, build, and maintain innovative solutions that drive efficiency and meet strategic goals. Collaborate with cross-functional teams to enhance the Oracle Fusion Cloud platform while ensuring alignment with business needs. This permanent opportunity promises a supportive culture that prioritizes career progression, work-life balance, and continuous learning. If you're looking to make a significant impact in a global organization, this is the perfect chance to elevate your career.","['Career progression Work-life balance Mental health support Competitive salary Continued learning and development', ' Oracle Cloud Master Data Master Data Management E R P Transformation Data Test Strategy Communication Skills', "" Bachelor's Degree in I T or related field"", ' Oracle Fusion Cloud Customer Data Hub (C D H) Supplier Hub (O S H)']",,,Work-life balance,,R,Bachelor's Degree
a079 assoc dir ddit dev business analyst global clinical operations,Data Analyst,Regular,,,,Madrid,"Join a forward-thinking company where you will play a crucial role as a Business Analyst in Global Clinical Operations. In this position, you will engage with global leaders to identify requirements and deliver data-driven recommendations that enhance efficiency and add value. Your expertise will guide improvements in business processes, products, and services through thorough data analysis. This role offers the opportunity to work autonomously in a dynamic, multicultural environment, ensuring that solutions meet specifications and enhance user experiences. If you are a self-starter with a strong analytical background and a passion for driving global solutions, this is the perfect opportunity for you.","[' Business Process Reengineering User Requirements Gathering Agile Scrum Analytical Skills Communication Skills Problem-Solving Change Management Testing / Computer System Validation', ' University Degree in Informatics or Computer Sciences Relevant Experience']",,,,,,
business controller and analyst,Data Analyst,Regular,,,,Madrid,"Una empresa innovadora busca un Junior Business Analyst & Controller que se una a su equipo internacional en Madrid. En esta dinámica posición, serás responsable de la producción de informes operacionales y análisis de datos, ayudando a optimizar el rendimiento de la empresa. Se requiere un fuerte interés en la consolidación de datos operacionales y habilidades avanzadas en Microsoft Excel. Esta es una oportunidad emocionante para contribuir a un equipo diverso y en crecimiento, donde tus aportes serán valorados y tendrás la oportunidad de crecer profesionalmente en un entorno internacional. ¡Prepárate para asumir nuevos desafíos y ser parte de una aventura increíble!","[' Análisis de datos operacionales Microsoft Excel (Macros) Comunicación efectiva Trabajo en equipo Organización', ' Grado en Administración de Empresas o equivalente', ' M S Excel']",,,,,"Excel, Excel",Grado
process engineer operations analyst,Data Analyst,Regular,Santander,,,Madrid,"Una empresa innovadora busca un/a Process Engineer Operations Analyst para unirse a su equipo en Madrid. En este rol, serás responsable de desarrollar y mantener el modelo de control operativo en un entorno DataLake, asegurando la calidad de los datos y apoyando a las unidades en la implementación de nuevos controles. Con un enfoque en la tecnología y la creatividad, tendrás la oportunidad de contribuir a soluciones financieras que impactan a usuarios y comunidades en todo el mundo. Si tienes experiencia en SQL, Python y un interés en Big Data, esta es tu oportunidad para crecer en un entorno dinámico y colaborativo.","[' S Q L Python Apache Spark Pyspark Power B I Inglés (B1-B2)', ' Ciclo Formativo de Grado Superior/Medio en Informática Formación en Big Data y/o Data Analytics']",,,,,"Python, Pyspark",Grado
senior knowledge analyst payments,Data Analyst,Senior,,,Fintech,Madrid,"An established industry player in consulting is seeking a Senior Knowledge Analyst to join their Payments and FinTech Practice Area. This role offers a unique opportunity to collaborate with a dynamic global team, providing critical insights and expertise to solve complex client challenges. You will engage in developing knowledge assets and support marketing efforts while working closely with senior stakeholders. Ideal candidates will have a strong background in consulting or relevant industry experience, alongside excellent communication and analytical skills. If you're passionate about payments and financial services and thrive in a collaborative environment, this position is perfect for you.","[' Research and Analytical Skills Communication with Senior Stakeholders Collaboration in Virtual Teams Flexibility and Creativity Navigating Complexity', "" Bachelor's Degree Advanced Degree"", ' Knowledge Management Tools']",,,,,,Bachelor's Degree
sanoperations delivery analyst ii,Data Analyst,Regular,,,,Madrid,"Una organización global en el sector financiero busca un Operations Delivery Analyst para unirse a su equipo en Madrid. Esta posición es clave para garantizar el funcionamiento diario del banco, involucrándose en tareas administrativas y apoyo en operaciones. Con un enfoque en la gestión de riesgos y una cultura de igualdad de oportunidades, esta empresa ofrece un entorno dinámico y colaborativo donde los profesionales pueden crecer y contribuir a la gestión de inversiones. Si tienes una licenciatura en áreas relacionadas y experiencia en consultoría o finanzas, esta es tu oportunidad para formar parte de una firma reconocida y en expansión.","[' Conocimientos financieros y de costes Inglés Intermedio - Avanzado Paquete Office Herramientas de gestión Uso de bases de datos', ' Licenciatura en A D E Licenciatura en Finanzas Licenciatura en Economía']",,,,,,"Licenciatura, Licenciatura, Licenciatura"
sanoperations delivery analyst,Data Analyst,Regular,,,,Madrid,"Una innovadora firma busca un/a Delivery Operations Analyst para unirse a su equipo en Madrid. En esta emocionante posición, serás responsable de la obtención y revisión diaria de precios de activos, así como del cálculo y envío de NAV. Se valorará tu experiencia en mercados financieros y tu capacidad para utilizar herramientas como Refinitiv Eikon y Bloomberg. Además, tendrás la oportunidad de participar en la mejora de procesos y en la gestión de incidencias. Si tienes una actitud proactiva y un sólido conocimiento en contabilidad y finanzas, esta es tu oportunidad para crecer en un entorno dinámico y colaborativo.","[' Conocimientos contables Conocimiento de mercados financieros Valoración de Fondos de Inversión Automatización de herramientas Python Inglés Avanzado Paquete Office (Excel avanzado)', ' Formación en Mercados de Capitales Gobierno de Datos', ' Refinitiv Eikon Bloomberg Herramientas de gestión de bases de datos']",,,,,"Python, Excel",
process engineer operations analyst,Data Analyst,Regular,Santander,,,Madrid,"Una innovadora firma busca un/a Process Engineer Operations Analyst para unirse a su equipo en Madrid. Este rol es fundamental para desarrollar el Modelo de control Operativo en un entorno DataLake, apoyando la inclusión de nuevos controles y el mantenimiento de los existentes. En un entorno colaborativo y diverso, tendrás la oportunidad de trabajar con tecnologías avanzadas como SQL, Python, y PowerBI, contribuyendo al desarrollo de soluciones financieras que impactan a miles de usuarios. Si estás listo para un desafío emocionante y deseas crecer en un ambiente inclusivo y dinámico, esta es tu oportunidad.","[' S Q L Python Apache Spark Pyspark Power B I Inglés (B1-B2)', ' Ciclo Formativo de Grado Superior/ Medio en informática Formación en Big Data y/o Data Analytics']",,,,,"Python, Pyspark",Grado
junior incidents problems analyst,Data Analyst,Junior,Santander,,,Madrid,"Una innovadora firma busca un Junior Incidents & Problems Analyst para unirse a su equipo dinámico en Madrid. Esta posición ofrece la oportunidad de trabajar en un entorno colaborativo donde la tecnología es clave para mejorar la experiencia del cliente. Con un enfoque en la mejora continua y el aprendizaje, tendrás la posibilidad de contribuir a la fiabilidad y rendimiento de los servicios. Además, disfrutarás de un modelo de trabajo híbrido, flexibilidad horaria y oportunidades de desarrollo profesional. Si te apasiona la tecnología y deseas crecer en un entorno inclusivo, esta es la oportunidad perfecta para ti.","['Flexibilidad horaria Oportunidades internacionales Formación continua Plan de carrera Beneficios sociales', ' Office 365 Jira Dynatrace Bash Power B I Python']",,,,,Python,
financial operations analyst,Data Analyst,Regular,,,,Madrid,"Una empresa innovadora busca un Analista de Operaciones Financieras para unirse a su equipo dinámico en Madrid. Esta posición ofrece la oportunidad de trabajar en un entorno altamente dinámico, donde se valoran las ideas y el crecimiento personal. Con un enfoque en la liquidación de valores y la gestión de proyectos, tendrás la oportunidad de colaborar con partes interesadas clave y contribuir al desarrollo de una nueva infraestructura de mercado utilizando tecnología DLT. Si tienes pasión por los mercados de capital y deseas un entorno de trabajo flexible y de aprendizaje continuo, esta es tu oportunidad.","['Modelos de trabajo flexibles Desarrollo personal Métodos de trabajo ágiles', ' Análisis de mercado Gestión de proyectos Operaciones de liquidación de valores Comunicación en español e inglés Orientación al detalle', ' Licenciatura en Finanzas Máster en Mercados Financieros']",,,,,,Licenciatura
functional analyst with sofware development skills,Data Analyst,Regular,,,,Madrid,"An innovative company is seeking a Functional Analyst with software development skills to lead product and service development. This role involves analyzing requirements, ensuring technical specifications are met, and actively participating in development and testing processes. You will work closely with B2B Customer Service and Operations teams to enhance service quality and customer satisfaction. If you thrive in a dynamic environment and have a passion for technology, this is an exciting opportunity to make a significant impact within a leading telecommunications organization.","[' Java Python Java Script S Q L A W S R E S T A P Is Agile Methodologies G I T U A T Testing System Design Principles', ' Degree in Telecommunications Degree in Computing', ' Visual Studio Eclipse J I R A']",,,,,"Python, R, R",
sap ps consultant,Consultant,Regular,,,,Madrid,"An established industry player is seeking a skilled Business Analyst with a strong background in SAP implementations. In this dynamic role, you'll engage in joint application design sessions, analyze business processes, and develop use cases tailored to client needs. Your expertise will ensure that requirements are met effectively, minimizing risks and enhancing system value. With a focus on simplicity and user experience, you will collaborate closely with stakeholders to deliver practical solutions that align with strategic objectives. If you're passionate about driving business success through technology, this is the perfect opportunity for you.","[' S A P Implementations Business Analysis Requirements Gathering Use Case Development Process Analysis', "" Bachelor's Degree Advanced Degree"", ' Analysis and Modeling Tools']",,SAP,,,,Bachelor's Degree
junior incidents problems analyst,Data Analyst,Junior,Santander,,,Madrid,"Una empresa innovadora busca un Junior Incidents & Problems Analyst que esté listo para contribuir a la mejora de la tecnología que impacta a millones. En un entorno dinámico y proactivo, tendrás la oportunidad de trabajar con un equipo diverso y talentoso, participando en la mejora de la fiabilidad de los servicios y en el análisis de incidencias. Este rol ofrece flexibilidad horaria y un modelo híbrido de trabajo, permitiéndote equilibrar tu vida profesional y personal. Además, recibirás formación continua y oportunidades internacionales para tu desarrollo profesional. Si te apasiona la tecnología y quieres crecer en un entorno colaborativo, esta es tu oportunidad.","['Flexibilidad horaria Formación continua Plan de carrera Oportunidades internacionales Beneficios sociales', ' Office 365 Jira Dynatrace Bash Power B I Python']",,,,,Python,
debt structured analyst,Data Analyst,Regular,,,Finance,Madrid,"Una empresa innovadora en el sector inmobiliario busca un Analista de Finanzas Estructuradas para unirse a su equipo en Madrid. Este rol ofrece una oportunidad única para aprender y crecer en un entorno colaborativo, trabajando en la evaluación de transacciones y la preparación de memorandos de financiamiento. Los candidatos ideales tendrán una sólida formación en finanzas y habilidades avanzadas en modelado financiero. Con un enfoque en el crecimiento profesional y la mentoría, este puesto es perfecto para aquellos que buscan construir una carrera exitosa en el sector inmobiliario. ¡Únete a nosotros y contribuye a dar forma a un futuro mejor!","[' Modelado Financiero Microsoft Excel Análisis de Transacciones Preparación de Memorandos Investigación de Mercado', ' Licenciatura en Finanzas Máster en Finanzas o Inversiones', ' Microsoft Power Point']",,,,,Excel,Licenciatura
credit control reporting mi analyst,Data Analyst,Regular,,,,Madrid,Sin descripción,"['Dynamic training programs Tuition reimbursement Flexible work arrangements Mentoring opportunities', ' Reporting and M I analysis Microsoft Excel Accounts Receivable Debt Management Analytical Skills Communication Skills Knowledge of London Market Financial Reporting', ' Relevant financial qualifications (A C C A/C I M A)', ' Finance or credit control systems Excel macros']",,,,"Reporting, Reporting","Excel, Excel",
scib ma analyst,Data Analyst,Regular,,,,Madrid,"Una oportunidad emocionante para unirse a un equipo líder en asesoría de M&A en una institución financiera global. Como Analista de M&A, serás parte de transacciones transformadoras, apoyando la ejecución de oportunidades de fusiones y adquisiciones con un enfoque en infraestructura en América Latina. Se espera que demuestres habilidades sólidas en modelado y valoración financiera, así como un compromiso con la excelencia y la atención al detalle. Este rol ofrece un entorno dinámico y desafiante, ideal para aquellos que buscan avanzar en su carrera en el sector de banca de inversión y asesoría M&A. Si eres una persona motivada y con iniciativa, esta es tu oportunidad para brillar.","[' Análisis financiero Modelado financiero Valuación de empresas Comunicación efectiva Microsoft Excel Microsoft Power Point Autonomía y responsabilidad Fluidez en español e inglés Conocimiento del mercado de infraestructura en América Latina Herramientas de datos de mercado (Bloomberg, Factset, etc.)', ' Título universitario de una universidad de primer nivel M B A (considerado para roles de asociado) Máster en Finanzas Corporativas (deseable)', ' Bloomberg Factset Refinitiv Mergermarket']",,,,,Excel,
financial analyst financial restructuring,Data Analyst,Regular,,,,Madrid,Sin descripción,"[' Financial Analysis L B O Modelling D C F Modelling Valuation Theory Quantitative Skills Analytical Skills Communication Skills Business Due Diligence', ' Degree in Accounting Degree in Economics Degree in Finance']",,,,,,
software business analyst,Data Analyst,Regular,,,,Madrid,Sin descripción,[],,,,,,
research analyst upstream asset valuation,Data Analyst,Regular,,,,Madrid,Sin descripción,[],,,,,,
senior sales analyst,Data Analyst,Senior,,,,Madrid,"An innovative firm is seeking a Senior Sales Analyst to lead GTM analytics and drive impactful insights. This role involves collaborating with cross-functional teams to enhance sales strategies and deliver data-driven recommendations. With a focus on building intuitive dashboards and managing analytics projects, you will play a crucial role in shaping the company's direction. Join a diverse team and contribute to a culture of creativity and customer impact, where your insights will directly influence business outcomes. This is an exciting opportunity to take ownership of analytics in a rapidly growing company.","['R S Us grant Annual bonus Learning & Development plan Flexible working hours Medical insurance Meal and transportation tickets Gympass25 days of vacation Team buildings and events Notebook/Macbook and monitor', ' S Q L Dashboard Building Data Analysis Project Management Communication Skills Collaboration', "" Bachelor's Degree in a related field"", ' C R M Systems (e.g., Salesforce, Hub Spot)']",,,,Data Analysis,"R, R",Bachelor's Degree
s944 senior business analyst,Data Analyst,Senior,,,,Madrid,"Una empresa líder en el sector de seguros busca un Analista de Negocios Senior para unirse a su equipo de Gestión Operativa en Madrid. Este rol emocionante requiere una combinación robusta de habilidades en análisis de negocios y gestión de proyectos, donde el candidato ideal será responsable de la supervisión de proyectos desde la recolección de requisitos hasta la implementación y mejora continua. Ofrecemos un entorno profesional dinámico y la oportunidad de crecer en una organización que valora la diversidad y la inclusión. Si estás listo para dar el siguiente paso en tu carrera y trabajar con los mejores en el sector, esta es tu oportunidad.","[""Seguro de vida pagado por la empresa Cobertura médica Plan de compensación flexible Plataforma de formación gratuita 'my Learning'Descuentos en compras a través de 'Big Pocket'"", ' Análisis de negocios Gestión de proyectos Metodología Ágil (S C R U M) S Q L Power B I Excel Comunicación efectiva Análisis de datos', ' Grado en Ingeniería Informática o similar', ' Jira Data Warehouse Modelado de datos']",,,,,"R, Excel",Grado
financial crime ops senior analyst,Data Analyst,Senior,,,,Madrid,"An established industry player is seeking a Financial Crime Ops Senior Analyst to join their dynamic team in Madrid. This role is pivotal in supporting the Compliance function, focusing on AML and CFT procedures. You will engage with various departments, ensuring adherence to regulations while monitoring transactions to mitigate risks. Ideal candidates will possess strong analytical skills, a relevant degree, and experience in financial institutions. Join a vibrant workplace that values your contributions and offers opportunities for growth and impact in the financial sector.","['Health and well-being benefits Autonomy in work Opportunity for impact Dynamic work environment', ' A M L regulation knowledge K Y C/C D D procedures Analytical skills Organizational skills Communication skills M S365 software package Ability to work under pressure Experience in financial firms', ' University degree in Law Degree in Economics or Political Sciences']",,,,,,
business analyst,Data Analyst,Regular,,,,Madrid,Sin descripción,[],,,,,,
senior payroll transformation business analyst,Data Analyst,Senior,,,,Madrid,"Join a forward-thinking company as a Senior Payroll Transformation Business Analyst, where you will lead the execution of a global payroll strategy. This role emphasizes collaboration with HR and local teams to innovate payroll processes, ensuring alignment with global standards while meeting localized needs. You'll be at the forefront of implementing enhancements, optimizing user experiences, and driving continuous improvement across payroll systems. If you thrive in dynamic environments and are passionate about making a difference through effective payroll solutions, this is an exciting opportunity for you to shine and grow your career.","[' Payroll Processes Analytical Skills Project Management Microsoft Tools H C M Systems (Workday) Team Collaboration Fluent English Multiple Payroll Vendor Systems Service Now (Ticketing System)', ' Bachelor’s Degree Equivalent Business Experience', ' Payroll Systems H C M Systems Ticketing Systems']",,,,,,
senior analyst business intelligence,Business Intelligence,Senior,,,,Madrid,"An established industry player is seeking a Senior Analyst in Business Intelligence to join their innovative team in Madrid. This role is pivotal in driving business strategy through insightful data analysis and collaboration with cross-functional teams. You will lead projects that enhance product offerings and optimize services in the MedTech sector. This opportunity not only allows you to apply your analytical skills but also to contribute significantly to the future of healthcare. If you're passionate about using data to influence strategic decisions and improve healthcare outcomes, this role is perfect for you.","['Health care plans Flexible working hours Professional development opportunities Employee wellness programs', ' Data Analysis Business Strategy Development Market Research Cross-Functional Teamwork Reporting & Presentations', "" Bachelor's Degree in Business or related field Master's Degree (preferred)"", ' Business Intelligence Tools Data Visualization Software']",,,,"Data Analysis, Reporting, Business Intelligence, Data Visualization",,"Bachelor's Degree, Master's Degree"
soc analyst,Data Analyst,Regular,,,,Madrid,"Join a leading cyber security specialist as a Level 2 CyberSOC Analyst, where your analytical skills will be pivotal in identifying and mitigating threats. This role offers the opportunity to work with a talented team, utilizing various threat intelligence streams to enhance security measures for clients. You'll engage in proactive client services, conduct thorough investigations, and contribute to a dynamic environment focused on safeguarding against cyber threats. If you are passionate about cyber security and eager to make a significant impact, this is the perfect opportunity for you.","[' Information Security Threat Intelligence Malware Analysis Incident Response Log Analysis', "" Bachelor's Degree in Cyber Security or related field"", ' Security Information and Event Management (S I E M) Threat Detection Tools']",,,,,,Bachelor's Degree
esg analyst,Data Analyst,Regular,,,,Madrid,"Una empresa innovadora busca un analista ESG apasionado por la sostenibilidad y el impacto social. En esta función, tendrás la oportunidad de contribuir a la historia de equidad ESG de la empresa, gestionando proyectos que involucren a partes interesadas externas. Serás responsable de preparar contenido relevante para informes y coordinar reuniones con inversores, fomentando relaciones clave para aumentar la inversión en sostenibilidad. Si tienes habilidades analíticas y un fuerte interés en las tendencias ESG, esta es tu oportunidad para marcar la diferencia en un entorno dinámico y colaborativo.","[' Fluidez en inglés Habilidades analíticas Gestión de proyectos Comunicación efectiva Pensamiento crítico', ' Máster en disciplina relacionada M B A', ' C R M']",,,,,R,
business analyst con murex 100 en remoto,Data Analyst,Regular,,Remoto,,Madrid,"Una empresa innovadora busca un Business Analyst con experiencia en Murex para un emocionante rol remoto. Esta posición ofrece la oportunidad de trabajar en proyectos desafiantes dentro del sector financiero, asegurando la entrega de software de alta calidad y colaborando estrechamente con equipos técnicos. Si tienes habilidades en Python y estás listo para asumir nuevos retos, esta es tu oportunidad de unirte a un equipo en crecimiento y participar en proyectos que marcan la diferencia. ¡No te lo pierdas!","['Trabajo 100% remoto Participación en proyectos innovadores', ' Murex Python Linux S Q L No S Q L (Mongo D B)']",,,,,Python,
